index,Neighborhood,OccurMonth_Year,Animal Cruelty Offenses,Arson,Assault Offenses,Bribery,Burglary,Counterfeiting/Forgery,Drug/Narcotic Offenses,Embezzlement,Extortion/Blackmail,Fraud Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Larceny Offenses,Motor Vehicle Theft,Pornography/Obscene Material,Prostitution Offenses,Robbery,Sex Offenses,Stolen Property Offenses,Vandalism,Weapon Law Violations,Total_Offenses,avg_home_price,median_home_price,average_cost_per_foot,days_on_market,homes_sold_2017,condo_sales,distressed_property_sales,year_built,adj_popn,adj_popn_pe_sq_mi,median_age,median_household_income,home_ownership,married,divorced,widowed,seperated,never_married,popn_bachelors_degree_perc,popn_graduate_degree,median_monthly_housing_expenses,people_below_poverty,unemployed_perc,english_perc,perc_households_children,x,perc_diff_county_last_year,perc_diff_state_last_year,total_newcomers_perc,x.1,parks_perc,x.2,commute_by_public_transit,commute_by_bike_perc,commute_by_walking_perc,commute_biking_walking_perc,miles_bike_route_per_sqkm,walk_score,Matched_Names,Unnamed: 0,dates,Neighborhoods,Average Radiance Per Pixel Per month
10,ALAMEDA,2016-05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3416.0,2016-05-01,ALAMEDA,12.578641675954156
11,ALAMEDA,2016-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3538.0,2016-06-01,ALAMEDA,11.473602041957866
12,ALAMEDA,2016-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3660.0,2016-07-01,ALAMEDA,11.475358505147838
13,ALAMEDA,2016-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3782.0,2016-08-01,ALAMEDA,11.873837975418535
14,ALAMEDA,2016-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3904.0,2016-09-01,ALAMEDA,11.83481165584898
15,ALAMEDA,2016-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4026.0,2016-10-01,ALAMEDA,12.63007279150682
16,ALAMEDA,2016-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4148.0,2016-11-01,ALAMEDA,14.029167468225292
17,ALAMEDA,2016-12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4270.0,2016-12-01,ALAMEDA,14.538123032648306
18,ALAMEDA,2017-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4392.0,2017-01-01,ALAMEDA,17.50330958227264
19,ALAMEDA,2017-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4514.0,2017-02-01,ALAMEDA,14.611420133069595
20,ALAMEDA,2017-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4636.0,2017-03-01,ALAMEDA,13.49158844429239
21,ALAMEDA,2017-04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4758.0,2017-04-01,ALAMEDA,14.934298124237468
22,ALAMEDA,2017-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4880.0,2017-05-01,ALAMEDA,11.677276496988393
23,ALAMEDA,2017-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5002.0,2017-06-01,ALAMEDA,11.37305885486957
24,ALAMEDA,2017-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5124.0,2017-07-01,ALAMEDA,12.204320956161864
25,ALAMEDA,2017-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5246.0,2017-08-01,ALAMEDA,13.040807395145812
26,ALAMEDA,2017-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5368.0,2017-09-01,ALAMEDA,11.50793227997636
27,ALAMEDA,2017-10,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5490.0,2017-10-01,ALAMEDA,12.844551868084572
28,ALAMEDA,2017-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5612.0,2017-11-01,ALAMEDA,16.472164495554146
29,ALAMEDA,2017-12,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5734.0,2017-12-01,ALAMEDA,24.66145346765493
30,ALAMEDA,2018-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5856.0,2018-01-01,ALAMEDA,15.102302484487032
31,ALAMEDA,2018-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,5978.0,2018-02-01,ALAMEDA,19.23499722872868
32,ALAMEDA,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6100.0,2018-03-01,ALAMEDA,14.660540990045282
33,ALAMEDA,2018-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6222.0,2018-04-01,ALAMEDA,13.824339473532117
34,ALAMEDA,2018-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6344.0,2018-05-01,ALAMEDA,12.65137385664315
35,ALAMEDA,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6466.0,2018-06-01,ALAMEDA,12.090790288201694
36,ALAMEDA,2018-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6588.0,2018-07-01,ALAMEDA,11.71082775712962
37,ALAMEDA,2018-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6710.0,2018-08-01,ALAMEDA,14.706933749575828
38,ALAMEDA,2018-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6832.0,2018-09-01,ALAMEDA,11.833559538641406
39,ALAMEDA,2018-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,6954.0,2018-10-01,ALAMEDA,11.547745187592446
40,ALAMEDA,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,7076.0,2018-11-01,ALAMEDA,13.865824896207856
41,ALAMEDA,2018-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,7198.0,2018-12-01,ALAMEDA,20.44271614519924
